best_seller,course_rating_avarage,course_price,num_of_buyers_students,amount_of_instructor_studnets,num_articles,video_time_length,number_of_languages,last_update,instructor_rank,amount_of_what_you_will_learn_count,amount_of_requirments_count,amount_of_companies_support,course_rating_amount
0,4.6,59.9,2319,39618,1,10.5,2,335,4.3,1,6,0,71
0,4.1,59.9,7379,58555,1,3.5,2,975,4.2,4,6,0,452
0,4.1,59.9,73,52518,6,15.0,2,60,4.4,8,7,0,9
0,4.5,59.9,592,6,13,18.5,2,215,4.4,16,5,0,79
0,4.5,59.9,203,41675,19,6.0,2,30,4.6,11,7,0,29
0,4.9,59.9,2395,235072,3,23.0,2,30,4.5,80,6,0,16
0,4.4,59.9,1368,319,11,25.0,2,945,4.1,9,7,0,168
0,4.1,59.9,5971,17979,4,8.5,2,30,4.5,12,6,0,393
0,4.5,59.9,1107,2976,2,10.5,2,275,4.1,7,7,0,56
0,3.9,59.9,9565,132408,1,1.5,2,485,4.5,7,6,0,172
0,4.3,59.9,159,21672,19,18.5,2,1215,4.3,7,6,0,8
0,4.4,59.9,4857,38691,3,5.5,2,1645,3.7,8,6,0,64
0,4.2,59.9,1085,82063,6,9.5,2,30,4.2,5,6,0,16
0,4.3,59.9,5254,5254,4,1.5,2,305,4.3,5,6,0,33
0,4.0,59.9,1173,8111,6,3.5,2,670,4.2,9,6,0,75
0,4.3,59.9,131,131,6,1.0,2,2375,4.3,4,6,0,22
0,4.3,59.9,22922,50209,3,1.0,2,485,4.1,6,6,0,233
0,4.4,59.9,1791,59,13,4.5,2,1340,4.4,12,6,0,59
0,4.4,59.9,2284,5249,15,8.0,2,760,4.0,3,6,0,58
0,4.2,59.9,261,14160,1,1.0,2,485,4.0,8,5,0,17
0,4.5,59.9,805,2292,1,10.5,2,215,4.3,8,5,0,98
0,4.5,59.9,258,234,1,15.5,2,30,4.4,22,6,0,21
0,4.6,59.9,1277,61248,83,19.0,2,215,4.4,12,6,0,225
0,4.8,59.9,5358,69319,9,14.5,2,945,4.5,7,7,0,822
0,4.9,59.9,3057,80279,1,4.0,2,60,4.6,7,5,0,11
0,4.8,59.9,4516,70454,6,7.5,2,30,4.7,7,6,5,278
0,4.8,59.9,15850,41675,14,6.0,2,30,4.6,11,7,0,182
1,4.9,59.9,409,15562,4,27.0,2,305,4.7,1,6,0,86
0,4.7,59.9,282,12881,77,4.5,2,30,4.6,8,9,0,53
0,4.2,59.9,15353,301,9,6.0,2,60,4.1,7,8,0,265
0,4.6,59.9,451,365523,4,9.5,2,730,4.6,7,7,0,87
0,4.5,59.9,1635,115772,2,6.5,2,120,4.5,9,5,0,163
0,4.9,59.9,353,4160,7,5.5,2,610,4.3,5,7,0,40
0,4.5,59.9,172,37473,62,24.5,2,150,4.6,6,7,0,36
0,4.5,59.9,532,11583,1,14.0,2,550,4.5,5,6,0,112
0,4.8,59.9,359,12926,1,18.0,2,150,4.1,28,7,0,30
0,4.9,59.9,511,980,7,9.5,2,275,4.6,2,6,5,28
0,4.4,59.9,3537,8377,1,5.5,2,395,4.4,45,6,0,412
0,4.7,59.9,15233,83482,49,15.0,2,305,4.3,14,6,0,124
0,3.9,59.9,4833,2098408,5,22.5,2,30,4.6,10,6,0,810
0,3.8,59.9,24668,1294448,1,6.0,2,1975,4.3,2,6,0,2000
0,4.7,59.9,144,24748,1,4.0,2,60,4.6,16,6,0,25
0,4.7,59.9,2246,41673,5,13.0,2,30,4.5,10,5,5,395
0,4.4,59.9,10105,22094,4,6.0,2,730,4.2,7,7,0,388
0,4.5,59.9,4055,232418,27,18.5,3,215,4.5,9,6,0,309
0,4.6,59.9,12891,160571,5,11.5,2,215,4.4,10,5,0,420
0,4.4,59.9,47633,114934,1,4.5,2,90,4.3,3,5,0,550
0,4.6,59.9,457,457,23,14.0,2,425,4.6,11,6,0,42
0,4.5,59.9,956,29083,1,17.0,2,880,4.4,14,7,0,180
0,4.7,59.9,1663,547988,1,5.5,2,30,4.5,19,7,5,184
0,4.4,59.9,30695,9,1,6.5,2,1280,3.9,5,6,0,658
0,4.6,59.9,385,235112,3,5.5,2,30,4.5,24,5,0,29
0,4.2,59.9,4176,37659,5,28.0,2,215,4.4,11,6,5,452
1,4.4,59.9,22345,24141,2,5.5,2,365,4.4,9,7,5,2260
0,5.0,59.9,63,63,1,1.5,2,150,5.0,5,6,0,14
0,4.8,59.9,2345,4122,10,9.0,2,30,4.5,10,8,5,236
0,3.6,59.9,34056,300481,1,6.5,2,30,3.9,7,6,0,88
0,4.6,59.9,101,2724,2,2.5,2,120,4.3,9,5,0,9
0,4.7,59.9,45,290615,2,6.0,2,275,4.4,3,5,0,8
0,4.0,59.9,42390,85749,13,7.5,2,395,4.5,5,7,0,493
0,4.8,59.9,29,3456,1,2.5,2,335,4.2,7,6,0,11
0,4.1,59.9,33513,171606,6,6.0,2,915,4.1,6,6,0,1397
0,5.0,59.9,106,235112,3,5.5,2,30,4.5,26,5,0,15
0,4.0,59.9,24,4891,42,8.5,2,150,4.6,11,6,0,9
0,4.7,59.9,16813,2493,2,11.0,2,305,4.1,11,6,0,139
1,4.5,59.9,5196,16952,15,17.5,2,60,4.4,13,6,0,958
0,4.6,59.9,2490,7181,9,25.0,2,850,4.6,15,6,0,539
0,4.4,59.9,637,44355,2,5.0,2,30,4.6,7,6,0,61
0,4.4,59.9,3849,160571,1,2.0,2,215,4.4,8,5,0,202
0,4.1,59.9,29216,800090,1,3.0,2,395,4.2,3,6,0,1250
0,4.2,59.9,25160,3691,1,15.0,2,790,4.2,10,5,0,482
0,3.9,59.9,30401,2493,1,9.0,2,305,4.1,7,6,0,157
0,4.5,59.9,5753,38051,1,2.0,2,1400,4.6,4,5,0,25
0,4.3,59.9,11891,11891,3,5.0,2,365,4.3,7,7,0,132
0,4.2,59.9,29456,2493,10,8.0,2,305,4.1,16,6,0,265
0,3.9,59.9,14454,14453,9,16.0,2,120,3.9,13,6,5,282
0,4.6,59.9,3329,725313,1,2.5,2,305,4.1,9,5,0,13
0,4.1,59.9,27076,55658,5,6.0,2,245,4.1,14,9,0,273
0,4.3,59.9,12155,35579,9,1.5,2,365,4.3,1,5,0,136
1,4.4,59.9,1868,1868,6,9.0,2,185,4.4,4,6,0,363
0,4.5,59.9,36,13859,27,6.0,2,730,4.1,7,6,0,11
0,4.0,59.9,7828,1913,20,15.5,2,395,4.4,20,7,0,477
0,4.7,59.9,14317,14317,12,2.5,2,730,4.7,14,6,0,166
0,4.6,59.9,111834,401260,3,2.5,2,305,4.2,7,6,0,298
0,4.7,59.9,13795,160571,1,2.0,2,215,4.4,4,5,0,120
0,4.1,59.9,86,3456,2,2.5,2,335,4.2,5,6,0,17
0,4.7,59.9,29465,78894,3,7.0,2,730,4.5,3,5,0,158
0,4.2,59.9,13913,20295,2,2.0,2,245,4.5,11,6,0,308
0,4.3,59.9,4380,1226,1,12.5,2,515,4.4,5,6,0,303
1,4.3,59.9,18157,120334,3,19.0,2,90,4.4,7,6,5,1014
0,4.3,59.9,125,9,1,4.5,2,1280,3.9,4,6,0,18
0,4.4,59.9,9839,683,1,4.5,2,245,4.5,6,6,0,109
0,4.6,59.9,114,114,2,2.0,2,515,4.6,6,6,0,25
0,4.7,59.9,268,365523,1,13.0,2,515,4.6,6,6,0,47
0,4.3,59.9,33,33,2,5.5,2,335,4.3,4,7,0,8
0,4.6,59.9,21428,132424,1,4.0,2,185,4.5,7,6,5,202
0,4.5,59.9,1008,2267,8,7.0,2,150,4.6,6,5,0,14
0,4.0,59.9,1299,800090,1,6.0,2,1945,4.2,5,6,0,97
0,4.5,59.9,150,21672,12,16.5,2,760,4.3,24,6,0,21
